Rbv,Cbv,Rdv,Ldv,Cdv,Rav,ratio_Ldv_over_obs
0.32690358,0.120872155,0.4006139,1.0,0.39263746,0.38783616,3.0696251
0.12225477,0.077741325,0.12878148,1.0,0.38558587,0.4308764,4.365897
0.45399734,0.14432576,0.31289303,1.0,0.3904035,0.6219651,2.5993137
0.46490785,0.24776304,0.30593008,1.0,0.39960283,0.46061543,2.661246
0.4213931,0.17311825,0.41059867,1.0,0.3777801,0.38762662,2.8240342
0.40050164,0.1718848,0.4010401,1.0,0.39083388,0.42107502,2.8005943
0.36215508,0.15674734,0.4102294,1.0,0.3887118,0.37327185,2.9566283
0.42164403,0.185153,0.38811064,1.0,0.35965878,0.6016963,2.5558937
0.17110349,0.08008622,0.4252847,1.0,0.3951071,0.4146702,3.3641675
0.43684757,0.15977764,0.4144902,1.0,0.38634327,0.37357026,2.8232176
0.41373128,0.14736108,0.26232013,1.0,0.39689916,0.5020882,2.9029264
0.27549535,0.16001827,0.4091168,1.0,0.388863,0.40182316,3.0575118
0.38859326,0.15016627,0.40955934,1.0,0.3904737,0.40816206,2.8621235
0.40452555,0.15300536,0.13093543,1.0,0.39402008,0.38626838,3.4042444
0.3679555,0.16841102,0.40988714,1.0,0.38754717,0.40398327,2.8772275
0.4299831,0.17889234,0.383468,1.0,0.38934663,0.4484284,2.7320635
0.24294022,0.13478921,0.16460115,1.0,0.37988508,0.42040715,3.724054
0.48109558,0.17935699,0.4143397,1.0,0.38844252,0.41037676,2.6686428
0.23872772,0.09235485,0.19448099,1.0,0.37730232,0.38921276,3.8697336
0.22414021,0.120526925,0.4087265,1.0,0.39888197,0.38862666,3.244852
0.4567931,0.22907272,0.46858853,1.0,0.41613972,0.79301083,2.1154127
0.42313534,0.18874657,0.40285578,1.0,0.38868144,0.41299567,2.752675
0.3061944,0.1502278,0.25844836,1.0,0.3727846,0.3971145,3.3675256
0.45515412,0.13769661,0.32899407,1.0,0.40082622,0.38809115,2.922674
0.131597,0.08401937,0.4117133,1.0,0.38121095,0.39578387,3.5604308
0.46644554,0.21894386,0.40886357,1.0,0.39272213,0.38549975,2.6702628
0.45940623,0.18695799,0.17090191,1.0,0.39697576,0.41597608,3.0670748
0.08565505,0.060696837,0.28352773,1.0,0.38328326,0.46070936,3.9250402
0.41467616,0.20564546,0.4099113,1.0,0.39482787,0.53274035,2.5538855
0.34772444,0.12424015,0.40979916,1.0,0.40002418,0.48187765,2.8350046
0.47412276,0.2435869,0.43024373,1.0,0.41937876,0.71547544,2.1902854
0.37351176,0.16324641,0.41256434,1.0,0.3994248,0.39055827,2.8747106
0.41452488,0.12714604,0.41070017,1.0,0.400026,0.38195574,2.8829198
0.43210754,0.13449684,0.42451632,1.0,0.39941245,0.62986803,2.474756
0.40352347,0.19464515,0.40507534,1.0,0.3867645,0.3943866,2.8020701
0.31388173,0.121130586,0.39974043,1.0,0.38245544,0.4110381,3.0707884
0.30852887,0.12900384,0.40119708,1.0,0.39386797,0.4767438,2.9251027
0.38931918,0.14339602,0.414239,1.0,0.3929645,0.5018669,2.7147567
0.3919812,0.20218937,0.45513445,1.0,0.41058588,0.7608152,2.2515361
0.44077855,0.13225195,0.40464965,1.0,0.3861681,0.430702,2.7862136
0.4014877,0.15007924,0.4000697,1.0,0.39230567,0.3852287,2.8915591
0.32486486,0.18660298,0.40693006,1.0,0.38892114,0.44197524,2.8582957
0.12634513,0.08966174,0.33444703,1.0,0.3709467,0.6245894,3.2341735
0.45969927,0.16732527,0.37478516,1.0,0.3972006,0.39991546,2.7794366
0.32898727,0.17987663,0.4096356,1.0,0.38101983,0.41605258,2.91448
0.44394672,0.21681257,0.40645063,1.0,0.39813268,0.40062675,2.6795723
0.38923874,0.109681554,0.40322644,1.0,0.38123772,0.39591742,2.9774277
0.10544253,0.062410805,0.40811354,1.0,0.37735143,0.6223577,3.1732411
0.47495463,0.16597196,0.42157868,1.0,0.3927758,0.3979092,2.69805
0.1919571,0.10808186,0.14107567,1.0,0.35102606,0.6095125,3.567216
0.44196332,0.19148086,0.40763742,1.0,0.39355072,0.3759038,2.761613
0.49424323,0.225716,0.4106473,1.0,0.3874639,0.396015,2.6122136
0.40541968,0.14991751,0.15333979,1.0,0.38391963,0.41543373,3.315583
0.43546134,0.13446973,0.27775145,1.0,0.3992878,0.3919585,3.0507731
0.19737567,0.0930116,0.381168,1.0,0.37996393,0.3818747,3.488225
0.1328954,0.07003135,0.4223527,1.0,0.37730646,0.44724238,3.4486842
0.43407935,0.15815225,0.14309138,1.0,0.39128485,0.3921197,3.2922297
0.18702795,0.12520999,0.4601214,1.0,0.3681857,0.64286536,2.8036172
0.47778654,0.18652447,0.4112015,1.0,0.40039253,0.37976885,2.694439
0.3350068,0.14935926,0.3932521,1.0,0.3974448,0.4042987,2.9773216
0.39609104,0.121452525,0.40528694,1.0,0.38582456,0.44628486,2.8491006
0.48930326,0.14494917,0.06552429,1.0,0.37782013,0.5973795,2.9851167
0.44325304,0.19596696,0.39785388,1.0,0.37953824,0.48995033,2.622521
0.48550677,0.20751315,0.40597212,1.0,0.38115153,0.4000576,2.6592896
0.3915626,0.16136569,0.41559497,1.0,0.39954823,0.40242538,2.824066
0.4438016,0.1730304,0.1596005,1.0,0.38372493,0.40493506,3.1946993
0.27056146,0.16275653,0.40450877,1.0,0.3917272,0.39333382,3.0809278
0.46048233,0.16194718,0.4198596,1.0,0.39788988,0.57272035,2.4839792
0.44372138,0.15793672,0.40453893,1.0,0.38587815,0.43526673,2.736215
0.26256216,0.13147542,0.39880583,1.0,0.37565127,0.6109989,2.8097882
0.39677483,0.17733209,0.41032472,1.0,0.38172835,0.4159896,2.8056006
0.34511852,0.11503391,0.353519,1.0,0.3905435,0.4276925,3.063899
0.3780034,0.14497001,0.20168251,1.0,0.39153343,0.67861736,2.7858152
0.29817724,0.1325251,0.40509844,1.0,0.37522918,0.43967098,3.029016
0.45650792,0.2028303,0.31956843,1.0,0.39118692,0.37475437,2.8655791
0.48300922,0.18636085,0.41017535,1.0,0.38273904,0.43172637,2.6399004
0.32541403,0.135848,0.4091472,1.0,0.39514056,0.4370423,2.9366987
0.49027708,0.21880656,0.375301,1.0,0.39374515,0.43512774,2.613344
0.42296404,0.13499212,0.3972432,1.0,0.37219793,0.44723803,2.8174803
0.40328205,0.16537268,0.4077403,1.0,0.40309703,0.37751627,2.8457465
0.40570447,0.15676072,0.4092611,1.0,0.3923306,0.4144366,2.8113685
