source_param,sweep_val,re_encoded_Rbv,re_encoded_Cbv,re_encoded_Rdv,re_encoded_Ldv,re_encoded_Cdv,re_encoded_Rav
Rbv,-2.0,-1.949154,0.21300389,0.25817943,-0.31676984,-0.07127991,0.23789807
Rbv,-1.949367,-1.8933109,0.21465869,0.261602,-0.30432358,-0.0742016,0.2388442
Rbv,-1.8987342,-1.8377807,0.21664579,0.26604265,-0.29097447,-0.07626651,0.2389497
Rbv,-1.8481013,-1.7825235,0.21893285,0.27151904,-0.2766532,-0.0774952,0.23843457
Rbv,-1.7974683,-1.7274812,0.22149052,0.27798095,-0.26138812,-0.077938244,0.23742504
Rbv,-1.7468355,-1.6725851,0.22429916,0.2853361,-0.24522436,-0.077663966,0.23608783
Rbv,-1.6962025,-1.6177619,0.22733733,0.29343334,-0.22828543,-0.076761626,0.23452398
Rbv,-1.6455696,-1.5629418,0.23058067,0.3020861,-0.21072684,-0.07533148,0.23286028
Rbv,-1.5949367,-1.508057,0.23399249,0.31106853,-0.19276376,-0.07347959,0.23116784
Rbv,-1.5443038,-1.4530473,0.23751855,0.3201385,-0.17465842,-0.071311854,0.22952789
Rbv,-1.493671,-1.3978659,0.24108416,0.3290451,-0.15671669,-0.06893098,0.22799334
Rbv,-1.443038,-1.3424773,0.24459572,0.33755544,-0.13923872,-0.066429704,0.2266238
Rbv,-1.392405,-1.2868649,0.24794455,0.3454406,-0.1225562,-0.06389555,0.22542945
Rbv,-1.3417722,-1.2310343,0.25101572,0.35251567,-0.10693477,-0.06140377,0.22443885
Rbv,-1.2911392,-1.1750164,0.25369948,0.3586236,-0.09259633,-0.059021655,0.22363725
Rbv,-1.2405063,-1.1188717,0.25590006,0.36365578,-0.0796747,-0.056806587,0.22300933
Rbv,-1.1898735,-1.0626934,0.25754887,0.36755127,-0.06821175,-0.054806724,0.22254263
Rbv,-1.1392405,-1.0066036,0.2586079,0.37029,-0.05816513,-0.053059686,0.22220002
Rbv,-1.0886075,-0.95074975,0.25907537,0.3718984,-0.04941953,-0.051592667,0.22194755
Rbv,-1.0379747,-0.8952958,0.25898322,0.37243253,-0.041821662,-0.050424322,0.22173582
Rbv,-0.98734176,-0.8404082,0.25839242,0.37198514,-0.03518115,-0.049558632,0.22152624
Rbv,-0.93670887,-0.7862453,0.25738543,0.37066588,-0.029303879,-0.048990946,0.22127868
Rbv,-0.886076,-0.7329395,0.25605693,0.36859807,-0.024008732,-0.048706133,0.22096242
Rbv,-0.835443,-0.6805901,0.25450274,0.36590418,-0.019144364,-0.048680983,0.22052774
Rbv,-0.7848101,-0.6292556,0.2528143,0.3627078,-0.014572061,-0.048885114,0.21995425
Rbv,-0.73417723,-0.57895225,0.25107065,0.35911995,-0.010197641,-0.04928339,0.21922441
Rbv,-0.6835443,-0.52965415,0.24933511,0.3552374,-0.0059522456,-0.04983887,0.21832643
Rbv,-0.6329114,-0.48130172,0.24765511,0.3511436,-0.0017997499,-0.05051478,0.21724916
Rbv,-0.5822785,-0.43380886,0.2460613,0.34691715,0.0022822989,-0.051273186,0.21602152
Rbv,-0.5316456,-0.38706994,0.2445706,0.34261596,0.006285344,-0.05208229,0.21463835
Rbv,-0.48101267,-0.34097257,0.24318825,0.33829024,0.010184732,-0.05291224,0.21310906
Rbv,-0.43037975,-0.2954068,0.24191135,0.33399045,0.013948398,-0.0537369,0.21147412
Rbv,-0.37974682,-0.25027326,0.24073087,0.3297557,0.01753578,-0.054535307,0.20973913
Rbv,-0.32911393,-0.20549203,0.23963523,0.32562274,0.020907858,-0.055289336,0.20793469
Rbv,-0.278481,-0.1610107,0.23861077,0.32162356,0.024014976,-0.05598799,0.20608355
Rbv,-0.2278481,-0.11680495,0.23764431,0.31777918,0.026815675,-0.0566236,0.20418967
Rbv,-0.17721519,-0.07288753,0.23672336,0.31411773,0.029288556,-0.05718907,0.20228337
Rbv,-0.12658228,-0.029298414,0.23583782,0.31064868,0.031397007,-0.057684213,0.20037048
Rbv,-0.07594936,0.013890308,0.23497906,0.3073825,0.033129856,-0.058109436,0.19845772
Rbv,-0.025316456,0.05658328,0.23414089,0.30432278,0.034482133,-0.05846725,0.19654821
Rbv,0.025316456,0.0986689,0.23331863,0.30146956,0.035458956,-0.058761656,0.19465263
Rbv,0.07594936,0.14002703,0.23250964,0.2988207,0.03607524,-0.058996186,0.19277796
Rbv,0.12658228,0.18053392,0.23171332,0.296364,0.036345232,-0.05917733,0.19091605
Rbv,0.17721519,0.22007269,0.23092888,0.29409432,0.036304586,-0.059308976,0.18907137
Rbv,0.2278481,0.25853586,0.23015718,0.2920026,0.035978902,-0.059396323,0.18725151
Rbv,0.278481,0.29583287,0.2293991,0.29007593,0.035398733,-0.059444014,0.18544464
Rbv,0.32911393,0.33188704,0.22865656,0.28830597,0.034601286,-0.05945513,0.18366815
Rbv,0.37974682,0.36664376,0.22793037,0.28668287,0.033617746,-0.05943404,0.18191196
Rbv,0.43037975,0.40005985,0.22722186,0.28520566,0.032497108,-0.059382237,0.18019612
Rbv,0.48101267,0.4321238,0.2265327,0.28385434,0.031243002,-0.059304185,0.17849688
Rbv,0.5316456,0.46282336,0.2258631,0.28263515,0.029909566,-0.059200518,0.17683667
Rbv,0.5822785,0.49216998,0.22521444,0.2815384,0.028512523,-0.059072785,0.17521691
Rbv,0.6329114,0.5201861,0.22458665,0.280559,0.027078409,-0.058921985,0.17363507
Rbv,0.6835443,0.5469,0.22398062,0.2796982,0.025635352,-0.058748648,0.17210387
Rbv,0.73417723,0.57235307,0.22339574,0.2789488,0.024193805,-0.058555163,0.17061703
