round,Rbv,Cbv,Rdv,Ldv,Cdv,Rav
0,2.877247465032294,1.0764611724031512,2.693057497446557,45.26528026968223,2.3198273419971964,12.104642601973095
1,9.661913266001205,1.4974239490238157,10.54147429920581,51.5705848795305,6.923385193768063,28.602320413014027
2,15.590626216094627,2.3433053672428223,17.14482415340204,54.67383265626299,10.651854129272774,41.35714501181188
3,20.794397252335642,3.235895312505108,23.08433152603093,55.59425558066631,13.755013400806304,50.82267002393066
4,25.635835428792646,4.0759507310510745,28.725368668137186,55.991761414099315,16.18356554176698,58.57445708915686
5,30.166266025919825,4.885599286551068,34.01673397968474,56.00128132679091,18.087986005635965,64.36109222030719
6,34.37494546160355,5.672536536826636,38.96626032767517,55.926709113332876,19.695403865878596,68.75779684581755
7,38.306282335757516,6.428544716852485,43.47415296912865,55.81090065806045,21.087258996384772,72.44256386913129
8,41.992979819889854,7.164657511719592,47.5506217748811,55.519367538507694,22.323283714796883,75.62342641500898
9,45.3863584735634,7.862141545757373,51.30643941490673,55.21832301028533,23.42828506374374,78.29096621852608
10,48.501474100720934,8.513712645144048,54.789601880308766,55.04731923160363,24.423886731965545,80.61781354547314
