PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
0.054654654,0.0009947704,0.6334214,0.057508387,0.15445068,0.039094537,0.34735197,0.063143454,0.084170446,0.65982836
0.005537376,0.05658249,0.7370747,0.029430777,0.0875482,0.0458889,0.02669539,0.08413704,0.06225935,0.65664613
0.08482545,0.0011047914,0.17542715,0.09060495,0.40010598,0.053670187,0.86182195,0.09587749,0.012517644,0.19689567
0.3175537,0.03676812,0.13389227,0.1071655,0.7527979,0.19478779,0.28534403,0.064614706,0.30640504,0.290291
0.3463701,0.0047145556,0.055749554,0.21148567,0.2224097,0.5244444,0.10659279,0.35071647,0.60992724,0.035889097
0.8276857,0.12810564,0.018458622,0.2623472,0.24854636,0.053656943,0.017196035,0.32864997,0.23189957,0.051188055
0.17393911,0.4367447,0.0076875263,0.18139707,0.048460256,0.045261644,0.06962283,0.7098051,0.48242354,0.015335454
0.08294,0.031588275,0.013347178,0.5156442,0.311615,0.5834373,0.187556,0.24636638,0.43890283,0.006611095
0.18657121,0.50500804,0.05126729,0.63625973,0.17597236,0.49895737,0.050827567,0.077348396,0.09654799,0.06993409
0.10939786,0.7295438,0.021957863,0.39869836,0.0055569373,0.29362532,0.014487511,0.41719425,0.18579578,0.036437687
