sv_index,enc_L0,enc_L3,enc_L6,enc_L9,enc_fc_mu,enc_fc_logvar,dec_L0,dec_L2,dec_L4,dec_L6,dec_L8
0,2.1989677,2.908533,1.91672,1.7623001,1.3719512,1.6362677,2.122728,2.0422163,2.2070978,2.2457108,1.916619
1,1.6755239,2.456538,1.8102391,1.5044372,1.2060615,0.91332775,1.68082,1.7711449,1.8539307,1.7109215,1.8595939
2,1.6231081,2.2067153,1.7050314,1.480018,1.1200594,0.5373861,1.5728238,1.7290018,1.5735463,1.4902704,1.554501
3,1.4783391,2.0929508,1.6561295,1.4038042,1.0599906,0.4096394,1.2979846,1.3750274,1.2782719,1.309906,1.3571947
4,1.3338027,1.8530573,1.5354639,1.313521,0.940168,0.2756324,0.92423725,1.229139,1.1914409,1.21183,1.3159281
5,1.1949431,1.769379,1.510588,1.2379625,0.92140895,1.1889531e-18,0.7745891,0.9370172,1.0167964,1.1204169,0.89625245
6,1.160691,1.6564358,1.4683844,1.1843076,,,,0.6739264,0.8253645,0.9486754,0.806654
7,1.105446,1.6013285,1.4312922,1.1516293,,,,0.5616797,0.7905437,0.7775022,0.7259437
8,0.9444516,1.5482484,1.388509,1.1266336,,,,0.12821224,0.15349424,0.70356697,0.66521823
9,0.85837394,1.4985064,1.3191133,1.06125,,,,0.10330199,0.13390926,0.4080434,0.49231428
10,,1.4490203,1.2755564,1.029701,,,,0.08004598,0.07062961,0.25442114,
11,,1.366041,1.2682182,1.006914,,,,0.039674748,0.039743233,0.18990985,
12,,1.3489041,1.2497244,0.9560469,,,,0.03006115,0.035540525,0.1298118,
13,,1.289934,1.2244672,0.91863835,,,,0.024190646,0.02178964,0.07904909,
14,,1.2403634,1.1720839,0.85235757,,,,0.019490834,0.016209729,0.0593696,
15,,1.2307303,1.1293265,0.8113223,,,,0.016674645,0.013016527,0.048496783,
16,,1.1999042,1.1113976,0.7942736,,,,0.012422509,0.0099896025,0.039946984,
17,,1.1330396,1.0845468,0.78192055,,,,0.00991975,0.008366492,0.028901896,
18,,1.0970749,1.0527611,0.7477718,,,,0.008264053,0.0069441884,0.025233138,
19,,1.0770508,1.0407825,0.7264014,,,,0.007883372,0.0051746047,0.019074125,
20,,1.0549906,0.99096763,0.67937136,,,,0.00666697,0.004815177,0.015309024,
21,,1.0317087,0.9635249,0.64293283,,,,0.005976695,0.0036882604,0.01317693,
22,,1.0011795,0.9481038,0.6070355,,,,0.004557843,0.0027943738,0.012938986,
23,,0.9775561,0.9396506,0.5997992,,,,0.0038220752,0.0021511177,0.011780379,
24,,0.946828,0.9261785,0.56568,,,,0.003354702,0.002018819,0.009037963,
25,,0.92890006,0.8770221,0.54173434,,,,0.003233067,0.0014103099,0.0068505034,
26,,0.9131755,0.8702491,0.5393238,,,,0.0027985978,0.001185205,0.005586412,
27,,0.8844217,0.84782887,0.5132803,,,,0.002658884,0.0011033488,0.00500014,
28,,0.85891473,0.83366257,0.49671,,,,0.0019010208,0.0010322635,0.0046700644,
29,,0.836498,0.81221783,0.48037273,,,,0.0016767335,0.0007158082,0.0033602286,
30,,0.8077602,0.7934424,0.46131057,,,,0.0016049067,0.0006135911,0.0030384304,
31,,0.7792968,0.76460654,0.44132432,,,,0.0013790474,0.00048348494,0.0023760544,
32,,0.77295727,0.7522394,0.42322394,,,,0.0012443508,0.00041212983,0.002163913,
33,,0.76490617,0.7248342,0.41060397,,,,0.0011009148,0.00039008434,0.0017927425,
34,,0.74560446,0.7149462,0.38627568,,,,0.0010133508,0.00033715737,0.0015769759,
