sample,freq_GHz,Zapp_d_Re,Zapp_d_Im,Zapp_t_Re,Zapp_t_Im,Zth_pred_Re,Zth_pred_Im,Zth_true_Re,Zth_true_Im
604,0.04,2500.667,20.629614,2337.5295,17.993843,17575.17003183345,4897.743943384002,18067.71156590146,5332.7709149009725
604,0.14013824884792628,2498.7485,72.148125,2335.9678,62.936256,9806.153602794726,8042.705193721202,9656.303002330771,8468.375936121072
604,0.24027649769585255,2494.7175,123.482895,2332.6812,107.73867,6191.068564121075,6517.263386154787,5926.798808916771,6754.75898540276
604,0.3404147465437788,2488.5864,174.50378,2327.6785,152.30164,4753.098664592866,5136.524564482579,4474.282088876186,5286.564092193478
604,0.44055299539170506,2480.3855,225.08339,2320.9878,196.52861,4084.2099810393083,4183.488147778433,3804.6149486598433,4287.792978699671
604,0.5406912442396314,2470.157,275.09808,2312.6353,240.32446,3726.7909912473015,3521.577429185787,3448.446963683423,3597.7883632523217
604,0.6408294930875577,2457.9543,324.42975,2302.6572,283.5975,3515.0366670647863,3045.2000927185522,3238.097742563079,3101.988040876266
604,0.7409677419354839,2443.8342,372.96417,2291.0967,326.25974,3379.4706805956903,2690.3169391953165,3103.8016811009325,2732.509321237668
604,0.8411059907834102,2427.868,420.59564,2278.002,368.22748,3287.29367818553,2418.1758787506274,3012.756549438358,2448.724014564295
604,0.9412442396313365,2410.1301,467.22433,2263.4312,409.42313,3221.502619037321,2204.509876384313,2948.0010591767204,2225.350102620913
604,1.0413824884792628,2390.701,512.7571,2247.4402,449.77185,3172.6063411293344,2033.522674154605,2900.0833641827353,2045.9966030265762
604,1.141520737327189,2369.6663,557.1092,2230.0933,489.20572,3134.981947859942,1894.5545641970098,2863.4104008270274,1899.6328563540303
604,1.2416589861751153,2347.1223,600.2068,2211.4556,527.6611,3105.131907093681,1780.1787589792116,2834.5060487543537,1778.5889005695465
604,1.3417972350230416,2323.1628,641.9813,2191.6033,565.0843,3080.7907218255114,1685.0745555233984,2811.119964110383,1677.3780795822777
604,1.4419354838709677,2297.8896,682.37634,2170.608,601.42413,3060.439921697624,1605.3362160888946,2791.744394937813,1591.977601133585
604,1.542073732718894,2271.4036,721.3428,2148.547,636.639,3043.031627773523,1538.0349744070782,2775.3390676968393,1519.373837373568
604,1.6422119815668204,2243.805,758.83813,2125.4958,670.6893,3027.8243148476004,1480.93313095995,2761.1678658497253,1457.2661297434101
604,1.7423502304147467,2215.1924,794.82776,2101.5288,703.5422,3014.2816696707687,1432.2924155835271,2748.698316747436,1403.868574205401
604,1.842488479262673,2185.6772,829.29504,2076.7295,735.1764,3002.008326040651,1390.7424531386891,2737.537759478745,1357.7741469120158
604,1.942626728110599,2155.357,862.22156,2051.173,765.5706,2990.7078921371904,1355.188541513749,2727.3916729013345,1317.8595382419194
604,2.0427649769585257,2124.3257,893.5946,2024.9364,794.71124,2980.1548606599345,1324.745743660006,2718.035797240463,1283.2171988770588
604,2.1429032258064518,2092.6848,923.4177,1998.0956,822.5907,2970.175396359722,1298.6909649561808,2709.297072299214,1253.1059645465498
604,2.243041474654378,2060.53,951.69855,1970.7268,849.20776,2960.633936121971,1276.4275584877264,2701.0403463722587,1226.9146101416636
