source_param,sweep_val,re_encoded_Rbv,re_encoded_Cbv,re_encoded_Rdv,re_encoded_Cdv,re_encoded_Rav
Rbv,0.05,0.04619541,0.6719481,0.7434683,0.4852409,0.46669653
Rbv,0.061392404,0.05994406,0.6741397,0.7433828,0.484293,0.45338994
Rbv,0.07278481,0.06873016,0.67474395,0.7441079,0.48399973,0.45704263
Rbv,0.08417722,0.07697449,0.67402124,0.7451721,0.48251536,0.46017048
Rbv,0.09556962,0.08658399,0.6727925,0.7447285,0.48286012,0.45834017
Rbv,0.106962025,0.099241585,0.6713599,0.7419857,0.48493683,0.45988995
Rbv,0.11835443,0.1132309,0.6703435,0.73850584,0.4883254,0.46030656
Rbv,0.12974684,0.12566674,0.6685082,0.73486036,0.48878065,0.4719515
Rbv,0.14113924,0.13761838,0.6670459,0.732982,0.48822457,0.48672715
Rbv,0.15253164,0.14806187,0.6673796,0.7329967,0.48767155,0.49645817
Rbv,0.16392405,0.15852223,0.6677619,0.73546165,0.4893194,0.50539213
Rbv,0.17531645,0.16873573,0.6683622,0.7399246,0.49179164,0.5132589
Rbv,0.18670887,0.17941023,0.66869587,0.7430005,0.49275073,0.51797634
Rbv,0.19810127,0.19040944,0.6694506,0.7444357,0.49342772,0.5202616
Rbv,0.20949367,0.20206775,0.6689504,0.74505794,0.49402955,0.51723945
Rbv,0.22088608,0.21433266,0.66786236,0.74608487,0.4946948,0.51328015
Rbv,0.23227848,0.2268653,0.66616935,0.7468155,0.4943378,0.5094141
Rbv,0.24367088,0.23881404,0.6645505,0.74555165,0.49398842,0.5034612
Rbv,0.2550633,0.2509501,0.6630016,0.74391997,0.4942361,0.4970413
Rbv,0.2664557,0.26362523,0.662022,0.74241173,0.49376842,0.49376807
Rbv,0.2778481,0.27717742,0.6620739,0.7417186,0.49295017,0.4917086
Rbv,0.2892405,0.29172745,0.6627003,0.74101543,0.491768,0.4916833
Rbv,0.30063292,0.3064785,0.6635171,0.74200577,0.48996806,0.4927005
Rbv,0.3120253,0.32166204,0.6642632,0.74306566,0.4890887,0.49344683
Rbv,0.32341772,0.33402157,0.66559845,0.7421766,0.4884498,0.4914564
Rbv,0.33481014,0.3456364,0.666693,0.7419357,0.48820388,0.48952237
Rbv,0.34620252,0.35614705,0.66773236,0.74129,0.48888037,0.48795584
Rbv,0.35759494,0.36662778,0.6682334,0.74055,0.48998192,0.48711205
Rbv,0.36898735,0.37754402,0.668625,0.7400931,0.49077368,0.4872293
Rbv,0.38037974,0.38871145,0.66902065,0.7392777,0.49116898,0.48721978
Rbv,0.39177215,0.40016693,0.669441,0.7369898,0.49113917,0.48781255
Rbv,0.40316457,0.41047868,0.66948014,0.73458,0.4918094,0.4877033
Rbv,0.41455695,0.42101544,0.6695096,0.73218006,0.49192902,0.48636413
Rbv,0.42594936,0.43192467,0.66950357,0.73137206,0.49202412,0.48584953
Rbv,0.43734178,0.4429215,0.6695443,0.7306348,0.4919896,0.48492292
Rbv,0.44873416,0.45335367,0.6696431,0.7295085,0.49200532,0.48349336
Rbv,0.46012658,0.46350828,0.6699876,0.72936577,0.49133927,0.48294774
Rbv,0.471519,0.473952,0.67048734,0.72955555,0.49037465,0.48299274
Rbv,0.48291138,0.48464063,0.6708446,0.7299731,0.48979712,0.48285827
Rbv,0.4943038,0.49439898,0.67080474,0.7301313,0.48936346,0.4822568
Rbv,0.5056962,0.5038324,0.6708515,0.7304892,0.48960963,0.4827139
Rbv,0.5170886,0.5152674,0.6711796,0.73074967,0.4895479,0.48306242
Rbv,0.528481,0.52745897,0.67179763,0.7311606,0.48961884,0.48359147
Rbv,0.5398734,0.54042214,0.6724065,0.73183054,0.4893205,0.48354107
Rbv,0.55126584,0.5507187,0.6727282,0.73235005,0.48901397,0.48315457
Rbv,0.56265825,0.5609424,0.6730596,0.73304015,0.4888819,0.48283142
Rbv,0.5740506,0.5732151,0.67325336,0.73431593,0.48897803,0.48262715
Rbv,0.585443,0.58607185,0.67313176,0.73569155,0.48891917,0.4825806
Rbv,0.59683543,0.6000968,0.6732189,0.73714876,0.48868373,0.48280546
Rbv,0.60822785,0.61405754,0.673347,0.7386534,0.48855376,0.48324403
Rbv,0.61962026,0.62840927,0.673125,0.73996896,0.48917946,0.4834192
Rbv,0.6310127,0.642123,0.6730747,0.7412672,0.4901727,0.48353082
Rbv,0.6424051,0.655925,0.67287266,0.7429455,0.49143612,0.4838428
Rbv,0.65379745,0.6692096,0.6727677,0.74457246,0.4925785,0.48415852
Rbv,0.66518986,0.6817212,0.6729886,0.7460586,0.49341205,0.4846851
Rbv,0.6765823,0.69364566,0.67321956,0.7469597,0.49392065,0.48514688
Rbv,0.6879747,0.70346713,0.6734268,0.7471758,0.49427757,0.4856849
Rbv,0.6993671,0.7157917,0.6732825,0.7475177,0.49431834,0.4859351
Rbv,0.7107595,0.7275794,0.67309844,0.7480583,0.49452692,0.48614135
Rbv,0.7221519,0.73907167,0.6728825,0.7486172,0.49463394,0.48667452
