round,Rbv_norm,Cbv_norm,Rdv_norm,Cdv_norm,Rav_norm
0,0.9999997271313112,0.9999987783705026,0.9999997475906358,0.999999575420541,0.9999999227641121
1,1.7079428858912735,1.427797921173605,1.4512734986669564,1.6404890761604887,1.5113192009995076
2,2.4066388723168317,1.988655075534303,1.8913464649956906,2.228200527902239,1.9278683525187323
3,3.0092163445108167,2.535194913873421,2.2993973141473263,2.7277883968700047,2.265061724948298
4,3.5252341322001497,3.064617740437481,2.665618426136687,3.1812555668429034,2.5636709267068456
5,3.968420628148722,3.5506690347086316,2.9771911869427554,3.5892387789475864,2.8433551720312193
6,4.383338617783467,4.006198754320176,3.23970251224973,3.966101912862515,3.090394739539336
7,4.768533045478685,4.438228129603989,3.479915425955103,4.320678861952753,3.280364169748785
8,5.134765828237024,4.846996571281317,3.69985355576606,4.672908755188189,3.4651989483578
9,5.460600435491702,5.229068177567519,3.9014789524525644,5.014449147144924,3.6363394398438533
10,5.7359870092250915,5.590988499954761,4.082309227434034,5.355158715889204,3.8116679963344193
