sv_index,enc_L0,enc_L3,enc_L6,enc_L9,dec_L0,dec_L2,dec_L4,dec_L6
0,2.119003,3.084855,2.5375316,2.2827442,3.3934584,4.3393226,3.461553,3.4451141
1,1.7809913,2.6063378,2.185698,1.9825119,2.892445,4.086992,2.7734945,2.804498
2,1.6237735,2.5768085,1.8003968,1.8741128,2.516429,3.0617669,2.573841,2.6554136
3,1.5445889,2.1071422,1.6535305,1.7827426,1.9818608,2.2189617,2.4690301,2.5871937
4,1.4502693,2.0775993,1.6005946,1.726699,1.1982129,1.7391328,2.248336,2.1452196
5,1.3735538,1.8955367,1.5553728,,,1.4209636,2.0195045,1.6816907
6,1.2257864,1.8696023,1.5204365,,,0.93634963,1.9167966,1.5625058
7,1.2153296,1.7759237,1.4412392,,,0.73038405,1.7501612,1.4094657
8,1.1398691,1.6953712,1.3978508,,,0.6462313,1.5854558,1.2968313
9,1.0530931,1.679226,1.3136835,,,0.5818526,1.3501539,0.85346484
10,,1.6431493,1.2501338,,,0.41394514,1.2233443,
11,,1.6281406,1.2343227,,,0.3722368,0.67429155,
12,,1.5601578,1.208141,,,0.35954106,0.5582322,
13,,1.4971056,1.1697308,,,0.325366,0.44441777,
14,,1.4567943,1.1422355,,,0.30278516,0.40128803,
15,,1.4053681,1.0920159,,,0.29163152,0.38104713,
16,,1.3645197,1.0530363,,,0.27819216,0.3549701,
17,,1.3352902,1.0213234,,,0.26895565,0.32096523,
18,,1.2662953,1.004764,,,0.25740013,0.2808315,
19,,1.2617861,0.97645825,,,0.24941844,0.26338333,
20,,1.2441082,0.9329477,,,0.24505742,0.25051886,
21,,1.2161391,0.9229262,,,0.22983909,0.24835238,
22,,1.2003736,0.9121925,,,0.22417763,0.22811966,
23,,1.1814761,0.887235,,,0.22015795,0.22201623,
24,,1.1593068,0.8786594,,,0.21207474,0.21285565,
25,,1.1005586,0.82315975,,,0.20879745,0.20561036,
26,,1.080802,0.81657785,,,0.19418171,0.19762103,
27,,1.0745168,0.79874265,,,0.19167548,0.19151609,
28,,1.0638397,0.788875,,,0.18660402,0.18595205,
29,,1.0459068,0.7700052,,,0.18369086,0.18261167,
30,,1.029983,0.740012,,,0.1736813,0.17629571,
31,,1.0003997,0.72883105,,,0.16505526,0.17051235,
32,,0.98507726,0.7132635,,,0.15932152,0.15640317,
33,,0.9753933,0.7067257,,,0.15713793,0.15494737,
34,,0.9387257,0.6820347,,,0.14963809,0.1508713,
35,,0.9089173,0.67250425,,,0.14461827,0.14780448,
36,,0.9029503,0.6594851,,,0.14039938,0.14380886,
37,,0.8866442,0.6465539,,,0.13747625,0.13966468,
38,,0.87962323,0.6423869,,,0.13440973,0.13500221,
39,,0.8737566,0.6206833,,,0.13165651,0.12824313,
40,,0.85970855,0.61314315,,,0.123719156,0.12571634,
41,,0.84552133,0.6053706,,,0.12076748,0.12504952,
42,,0.83496493,0.5781494,,,0.11577219,0.12092207,
43,,0.8014765,0.57336056,,,0.11419966,0.11883405,
44,,0.7935392,0.56419545,,,0.10845968,0.11442834,
45,,0.7753127,0.5564544,,,0.10563929,0.112528816,
46,,0.75647116,0.53656745,,,0.1048697,0.103755824,
47,,0.75413084,0.5274574,,,0.103005484,0.10324561,
48,,0.7428754,0.5140784,,,0.098232925,0.09729917,
49,,0.72628564,0.5016027,,,0.09486903,0.09536948,
50,,0.7194909,0.49700773,,,0.09163286,0.09352538,
51,,0.71345717,0.4876223,,,0.08976224,0.08955716,
52,,0.6972331,0.4776884,,,0.085604,0.08701487,
53,,0.6840659,0.46473455,,,0.08409749,0.0835972,
54,,0.6720795,0.46001482,,,0.07933876,0.08095513,
55,,0.6632865,0.4491583,,,0.07672458,0.07957397,
56,,0.6479572,0.43847704,,,0.07531081,0.07686765,
57,,0.6448365,0.42584178,,,0.07125509,0.07452141,
