sample,freq_GHz,Zapp_d_Re,Zapp_d_Im,Zapp_t_Re,Zapp_t_Im,Zth_pred_Re,Zth_pred_Im,Zth_true_Re,Zth_true_Im
604,0.04,2341.9294,18.128063,2337.5295,17.993843,17550.92334106211,4538.139899333144,18067.71156589949,5332.7709153162505
604,0.14013824884792628,2340.3474,63.405254,2335.9678,62.936256,10305.858229233943,7835.195094026991,9656.303002306619,8468.375937575705
604,0.24027649769585255,2337.019,108.53992,2332.6812,107.73867,6676.771663926428,6509.339291382186,5926.798808845789,6754.758987895826
604,0.3404147465437788,2331.9553,153.43117,2327.6785,152.30164,5183.573609612908,5187.662683034199,4474.2820887337675,5286.564095723399
604,0.44055299539170506,2325.1826,197.98058,2320.9878,196.52861,4478.778588702585,4252.378763459811,3804.6149484214425,4287.792983264215
604,0.5406912442396314,2316.724,242.09064,2312.6353,240.32446,4099.257731790376,3596.6204142760507,3448.4469633245744,3597.7883688486013
604,0.6408294930875577,2306.6233,285.66937,2302.6572,283.5975,3873.2399284666426,3123.0713269208013,3238.0977420594186,3101.9880475007476
604,0.7409677419354839,2294.9211,328.6267,2291.0967,326.25974,3727.892697793585,2770.207139871301,3103.801680428219,2732.5093288861717
604,0.8411059907834102,2281.6733,370.87964,2278.002,368.22748,3628.597776399452,2500.078903265901,3012.756548572491,2448.7240232320005
604,0.9412442396313365,2266.9265,412.34537,2263.4312,409.42313,3557.3326641889576,2288.663963598232,2948.001058093762,2225.3501123023657
604,1.0413824884792628,2250.747,452.9511,2247.4402,449.77185,3504.00869034542,2120.2175258571956,2900.083362858928,2045.996613715694
604,1.141520737327189,2233.1978,492.6269,2230.0933,489.20572,3462.637378206872,1984.0647003427866,2863.410399238816,1899.632868044109
604,1.2416589861751153,2214.3447,531.3082,2211.4556,527.6611,3429.4887952981426,1872.7428752380893,2834.506046878402,1778.5889132532689
604,1.3417972350230416,2194.2693,568.9425,2191.6033,565.0843,3402.144725664616,1780.891938860951,2811.1199619235936,1677.378093251721
604,1.4419354838709677,2173.0405,605.47644,2170.608,601.42413,3378.9834527975227,1704.5692444080687,2791.7443924173467,1591.9776157802316
604,1.542073732718894,2150.7358,640.86633,2148.547,636.639,3358.8855996643956,1640.8134358406585,2775.3390648201307,1519.373852988313
604,1.6422119815668204,2127.4358,675.0758,2125.4958,670.6893,3341.059124040616,1587.3587223695185,2761.1678625945024,1457.2661463165734
